State,Energy
1,9.0979664902
2,23.1528656904
3,23.1543603666
4,41.6861722723
5,41.7586604147
6,48.2617807913
7,64.6306536612
8,64.6434557745
9,78.3293395261
10,78.3553747451
11,91.8337591691
12,91.8515610658
13,113.1746588942
14,113.6730699953
15,120.0546458615
16,123.3412667816
17,123.3482767529
18,153.4726428691
19,153.5064933015
20,159.1736946897
21,159.2057745785
22,167.1333508317
23,167.2543636345
24,198.5133127851
25,198.6611286647
26,199.4231936345
27,199.5281533432
28,219.0869171446
29,220.7005764999
30,226.7600648020
31,244.0356581522
32,244.4559654128
33,248.8209814454
34,248.9087693428
35,278.2105070307
36,278.3464987531
37,292.5888850503
38,292.9068727596
39,293.3753366223
40,294.0375507186
41,304.3317901319
42,304.4687749563
43,342.3833261371
44,343.0892770910
45,347.7618033000
46,348.1807063887
47,362.6913123415
48,365.1175467338
49,365.6186877023
50,367.1285491071
51,372.3185294951
52,406.9869231145
53,407.4387009327
54,412.9599273441
55,413.4763587194
56,431.6971606829
57,432.1957710937
58,442.5691509628
59,443.3792751085
60,458.7839726333
61,460.8350022519
62,470.8301860100
63,472.4768833393
64,489.6110162406
65,490.2832567686
66,503.6275941666
67,504.9765973171
68,527.7328775759
69,530.6400796899
70,540.6561026015
71,542.3721858503
72,548.4268178405
73,558.1012878214
74,562.5841355982
75,572.5088698499
76,573.6420789457
77,582.4605098204
78,582.9028530719
79,614.3424500421
80,619.9203541226
81,621.7306755990
82,622.8750681698
83,651.5658486230
84,653.3480579013
85,662.7380070612
86,663.3138828049
87,666.5158558711
88,667.4166021340
89,673.2132453885
90,674.9801077307
91,696.5996521597
92,700.9992504098
93,720.7338700213
94,724.4401657132
95,755.8401890019
96,757.5489395332
97,759.2624867009
98,760.3485745485
99,761.3475948236
100,765.7240514927
101,780.8649191387
102,784.7787351635
103,789.5241281204
104,795.9260370654
105,799.2284000075
106,829.8828032918
107,831.5655896136
108,851.7700234504
109,855.2714842877
110,862.7199274024
111,865.6988176046
112,878.3783760856
113,881.1277876097
114,881.5617197780
115,883.8969280411
116,908.7210823785
117,912.1960293311
118,938.2311335398
119,941.7869086805
120,946.1451071251
121,948.1215734799
122,952.2333724440
123,961.1942972994
124,973.9102466551
125,977.0944276705
126,984.6293604637
127,986.4362353114
128,1003.3075724281
129,1010.6071840635
130,1041.5189432639
131,1057.9544170674
132,1061.5916682777
133,1064.8149195520
134,1066.6261713670
135,1071.6535299727
136,1073.4680190565
137,1090.1248741294
138,1093.6224768210
139,1094.2424394063
140,1096.1674083906
141,1101.5920508314
142,1104.2990987253
143,1140.1333857536
144,1148.1228713443
145,1176.9531630387
146,1180.9970740168
147,1192.1913421028
148,1194.7496863185
149,1199.3313099521
150,1203.2132968326
