State,Square Energy,Circle Energy,Hexagon Energy,Stadium Energy
1,9.879347024237912,9.0979664902236,9.309033228238775,11.406773748221278
2,24.715890560737527,23.152865690365463,23.642673889541328,19.05848045477553
3,24.739335908611327,23.15436036657581,23.651064166400307,31.503438238328908
4,39.634124037479125,41.68617227226617,42.415793379521055,38.52333667018547
5,49.53971347740885,41.75866041465846,42.495700884579215,47.70126536939179
6,49.54015032054,48.261780791282014,49.108342196364134,48.41865913074765
7,64.444709251699,64.63065366120239,62.505379198022084,62.48148625223295
8,64.64297520211912,64.64345577451846,69.1851728134646,69.47342023692633
9,84.40766366940181,78.3293395260835,79.10231823988252,82.20290991240294
10,84.42048113871972,78.3553747450748,79.15140876479373,83.82597820049891
11,89.60845142202777,91.83375916905965,92.48569356397836,92.09124514569736
12,99.55310859685646,91.85156106579072,92.54799785368967,97.26430092154989
13,99.56340311127825,113.17465889419093,115.70635310080041,106.1646827338482
14,124.45801682489461,113.67306999525141,116.10870609010601,110.61962245700964
15,125.24026833226831,120.05464586150428,119.30835540985953,125.73695325958636
16,129.48741525593368,123.34126678156268,124.91996101240159,133.76177363253976
17,129.48781929929342,123.34827675294582,125.20744003474923,133.91729672695786
18,144.7735976833797,153.47264286911366,146.80866763154887,147.6248796039712
19,144.84412147615575,153.50649330153465,161.16736534954688,159.63665316778636
20,160.32725236181577,159.1736946896996,163.8568231847244,160.16024689051764
