State,Energy
1,9.3090332282
2,23.6426738895
3,23.6510641664
4,42.4157933795
5,42.4957008846
6,49.1083421964
7,62.5053791980
8,69.1851728135
9,79.1023182399
10,79.1514087648
11,92.4856935640
12,92.5479978537
13,115.7063531008
14,116.1087060901
15,119.3083554099
16,124.9199610124
17,125.2074400347
18,146.8086676315
19,161.1673653495
20,163.8568231847
21,163.8909491583
22,166.8879442699
23,167.2924277525
24,195.1625172727
25,195.2807844125
26,204.9399409556
27,205.0606641769
28,221.9221831022
29,223.9492609457
30,227.9455026560
31,247.4182224937
32,248.8076164880
33,253.4400466795
34,253.5161701556
35,256.6980449622
36,286.1879987681
37,295.7844431174
38,297.6789052880
39,299.7523645114
40,306.7344351956
41,311.3025856406
42,311.4115944667
43,322.1626838864
44,322.8081972442
45,361.9549338846
46,363.2141608446
47,366.3672251431
48,366.9268120104
49,375.5506321782
50,380.1371418773
51,382.2734553995
52,388.8507044120
53,393.3140284688
54,411.9338777608
55,434.5312629810
56,435.7198079792
57,436.7979884831
58,438.6382788841
59,449.8168644415
60,461.8336075832
61,465.2765494676
62,471.9767660575
63,473.6836716057
64,500.0120019203
65,502.6302223827
66,507.7434248906
67,511.1863832194
68,517.9753224848
69,519.1261113227
70,529.9477531586
71,531.3086860046
72,563.0258345291
73,574.9611895171
74,580.4986285668
75,582.0426961281
76,584.9688836544
77,597.4810236286
78,599.5428817271
79,602.0626188476
80,610.1188330006
81,610.7872040910
82,613.2250317884
83,615.7700056795
84,667.7128809706
85,674.3266232963
86,682.3149759991
87,684.8525363827
88,686.2371314411
89,687.5097884287
90,694.1324448773
91,695.6716033883
92,702.6372087396
93,705.4152048956
94,711.7880438336
95,727.6630592268
96,730.0922052126
97,775.3570064658
98,777.8322246704
99,781.3213050885
100,782.2900572156
101,786.9723818713
102,789.9119665272
103,794.5997256867
104,796.6237511455
105,809.8942781661
106,832.4243712833
107,836.3266470571
108,841.3177288637
109,852.4162653546
110,867.7805414268
111,881.3838179120
112,884.5987225735
113,886.6095057752
114,892.0885057475
115,899.6567331084
116,901.3012612010
117,909.9884235681
118,913.9879196343
119,919.3921302016
120,949.7709572363
121,966.0583415189
122,986.9822398812
123,988.6413052569
124,991.9343180768
125,994.7025664075
126,997.5979280755
127,1005.5636897337
128,1009.6683044187
129,1016.9167225716
130,1020.8714638688
131,1024.3493152809
132,1031.3540722094
133,1040.9398340900
134,1059.6756917259
135,1062.2762890488
136,1103.5570159962
137,1109.2008144490
138,1117.2949213811
139,1125.9655953135
140,1128.3788481764
141,1137.2441336956
142,1139.7179976214
143,1149.5312928656
144,1152.8866530288
145,1153.4913157742
146,1158.0104093556
147,1161.8846783123
148,1178.0199006262
149,1194.0059639086
150,1196.4552229720
