State,Energy
1,9.8793470242
2,24.7158905607
3,24.7393359086
4,39.6341240375
5,49.5397134774
6,49.5401503205
7,64.4447092517
8,64.6429752021
9,84.4076636694
10,84.4204811387
11,89.6084514220
12,99.5531085969
13,99.5634031113
14,124.4580168249
15,125.2402683323
16,129.4874152559
17,129.4878192993
18,144.7735976834
19,144.8441214762
20,160.3272523618
21,170.3827840022
22,170.4788961124
23,184.9320787802
24,184.9437433247
25,200.4739772123
26,200.4799245419
27,205.2335616243
28,207.3991909039
29,226.3459755223
30,226.5684280954
31,250.9791277142
32,250.9821218879
33,252.3389394961
34,262.8136022913
35,263.3527396269
36,266.7520123790
37,266.8077952112
38,293.1737430965
39,293.2109566990
40,307.3342743526
41,312.1724544778
42,327.8327815011
43,327.8495360323
44,330.1449803708
45,330.7217246689
46,343.9743475632
47,343.9756304086
48,365.9833593038
49,370.8119720909
50,370.9684103386
51,377.7710148436
52,379.7961857586
53,408.6691347849
54,408.8256934766
55,415.9795585098
56,415.9912813869
57,431.2621793435
58,432.3823130418
59,432.4047893456
60,440.5323683123
61,457.2852859612
62,458.8042410825
63,459.8392203324
64,459.8595583003
65,498.3363965145
66,498.6978960122
67,501.5314246244
68,515.5373676283
69,515.5506767937
70,516.2166554379
71,521.6257630715
72,532.2398664275
73,532.2509218890
74,548.5486193817
75,549.2043982979
76,560.3264137873
77,560.4747707372
78,577.7920597376
79,592.8922810249
80,599.9388498802
81,600.0273708226
82,609.2790163866
83,613.3151027606
84,627.0032898308
85,627.0091645986
86,643.8141775024
87,643.8691915667
88,651.3802602150
89,652.1902870975
90,659.5163194070
91,672.9109034316
92,672.9760493468
93,679.0269910916
94,689.9472283504
95,713.3643268690
96,713.6773627348
97,714.2892336177
98,716.5164159316
99,747.2476789979
100,750.7998741417
101,750.8053832174
102,764.8260349067
103,764.9078690886
104,769.2264356700
105,769.7472335227
106,770.0098923466
107,787.3524021179
108,796.8166469008
109,797.8175730671
110,797.9031216322
111,830.9305865829
112,832.9494117292
113,838.8418537817
114,839.5338096973
115,841.5722702025
116,866.8126452282
117,884.5058573525
118,887.4007374861
119,887.4191771391
120,892.8012829881
121,893.3918212516
122,906.2016036924
123,906.3090282897
124,907.7980953295
125,914.4476093323
126,935.4399130329
127,935.4794681301
128,940.4075197910
129,960.9790637503
130,962.1652002954
131,970.0409892826
132,978.3991480864
133,978.8163720473
134,992.6138933834
135,1010.0445394191
136,1033.6136458566
137,1033.7132833746
138,1037.3342624707
139,1037.3437179975
140,1039.9170739300
141,1045.4057898232
142,1046.4217022077
143,1056.6250759939
144,1056.6998304384
145,1080.2584822298
146,1085.9439519744
147,1086.0675815830
148,1104.3123468510
149,1104.8188963741
150,1105.7270881590
