State,Energy
1,11.4057051945
2,31.4977787969
3,69.4757632937
4,83.8217506775
5,110.5658732626
6,125.6905759189
7,162.1251962945
8,197.7388759170
9,229.1866347795
10,233.3642890876
11,267.8277986078
12,286.0582749567
13,316.9295041616
14,340.9918961366
15,386.5175609043
16,416.2378505192
17,446.4092428912
18,462.7899614115
19,495.6833571041
20,508.2557509886
21,538.6246630224
22,578.9858965259
23,593.2349015679
24,627.1534797005
25,676.1259319056
26,715.6067161530
27,729.9520726014
28,775.5513593421
29,791.4951778576
30,826.0790343470
31,847.3593737114
32,877.2552596605
33,903.1178573064
34,947.0903779693
35,958.6439087336
36,998.4514638897
37,1061.7879790296
38,1083.5840485317
39,1108.2337450715
40,1164.5179934971
41,1186.6959358875
42,1229.0777961261
43,1263.8157030789
44,1299.7159125460
45,1305.1144964373
46,1311.0181881802
47,1373.6536054336
48,1426.5349558335
49,1433.0674445723
50,1475.8398133375
51,1536.3580777047
52,1545.8568133538
53,1592.6673948359
54,1607.1329114802
55,1692.6089504410
56,1720.2974979994
57,1781.8403524677
58,1787.7317753420
59,1812.1937638636
60,1850.1171697322
61,1883.7598522672
62,1899.1539713154
63,1920.6575530692
64,2020.8906172921
65,2061.9431633127
66,2087.1825346905
67,2114.6130632873
68,2153.2464248168
69,2204.9629145376
70,2255.0918703214
71,2288.5726686046
72,2351.1258687946
73,2394.7852263695
74,2430.3890321943
75,2470.4131108428
76,2509.9316925456
77,2546.9478271978
78,2563.2793085100
79,2614.9064431149
80,2658.5550350251
81,2696.9041789064
82,2721.0200463441
83,2765.3095137583
84,2819.0879104704
85,2853.1434636315
86,2883.3165822675
87,2913.9998272913
88,2972.1451070328
89,2996.4444614976
90,3044.6852177904
91,3099.3465305163
92,3159.0938397323
93,3230.3608334153
94,3251.9544130188
95,3305.5752089011
96,3358.0817226632
97,3406.7712692041
98,3424.1926009205
99,3497.4882944323
100,3548.8979063355
101,3575.0369928045
102,3596.1852020185
103,3678.6562683266
104,3709.7622913367
105,3727.5985814592
106,3791.8239633246
107,3863.8798264376
108,3931.6198779886
109,3964.2412864966
110,4003.5756176807
111,4061.1708786322
112,4152.8843709194
113,4164.2618366071
114,4241.9992205867
115,4253.0071245269
116,4285.4693839776
117,4344.8290740134
118,4402.3467835106
119,4423.2431825717
120,4481.2461266969
121,4504.4935800111
122,4569.0801463183
123,4605.3675736589
124,4672.9197217935
125,4692.1282072880
126,4738.9858998983
127,4841.4318530244
128,4868.0753736004
129,4881.0011996032
130,4912.6208649087
131,4987.7973099413
132,5001.4979807475
133,5096.8758533855
134,5145.6144309659
135,5186.1138810541
136,5218.5136645889
137,5264.4604557021
138,5335.7826414743
139,5365.0896189542
140,5399.5123578499
141,5490.7980589737
142,5566.3439304652
143,5599.0051727339
144,5632.5943238904
145,5708.3037057362
146,5762.5960999772
147,5778.6859490473
148,5872.2732870071
149,5912.6333605222
150,5965.7148371782
