State,Energy
1,38.5214164266
2,62.4783184171
3,106.2115153619
4,147.5971147896
5,164.3264620358
6,181.7207462263
7,230.4167962014
8,251.4233815348
9,307.8171377310
10,336.1402955321
11,345.5917443107
12,375.1466102855
13,404.7591268975
14,452.3676486380
15,458.6183107262
16,514.4767534589
17,563.0078836213
18,589.0105833441
19,614.3781259282
20,640.4166619473
21,663.8819698271
22,699.2654142102
23,739.2866421251
24,756.4774444552
25,794.9382900596
26,846.2939932783
27,887.4064703479
28,917.7118651471
29,964.8849752780
30,996.6812243882
31,1024.6216421236
32,1053.0885497698
33,1070.3572026942
34,1111.4233096018
35,1149.6729517203
36,1182.2405502125
37,1216.1532507071
38,1263.0420041413
39,1323.0720791223
40,1343.5005682609
41,1377.3875341846
42,1429.7985445416
43,1488.4682080343
44,1503.1611435956
45,1528.3603284270
46,1573.1302085647
47,1592.5651701528
48,1623.4210837035
49,1665.9487343634
50,1707.9529773852
51,1736.4144791631
52,1784.0913037845
53,1820.5258528523
54,1904.9327482163
55,1920.0928665912
56,1961.6215380941
57,2016.8490318598
58,2038.2733837703
59,2096.8494622557
60,2162.5039398553
61,2176.0183207501
62,2225.6230111080
63,2243.5358599474
64,2268.0450382739
65,2321.0926693817
66,2353.1039107386
67,2400.4994668029
68,2461.0630560387
69,2485.1345037454
70,2554.5979321562
71,2597.7964527911
72,2662.5336571438
73,2672.5036693688
74,2724.3264289288
75,2778.3744662678
76,2826.2037446930
77,2918.6052653647
78,2931.2117803891
79,2996.7802434803
80,3018.5398166936
81,3032.5008801715
82,3056.1914281147
83,3106.3331579261
84,3122.4094064434
85,3202.3964251670
86,3250.5986692102
87,3278.2828249437
88,3358.3443718509
89,3383.7221510793
90,3457.7835655690
91,3490.3970347486
92,3536.3402115906
93,3610.7848687745
94,3628.6371572426
95,3741.3801043827
96,3798.5345470900
97,3823.0844294935
98,3902.6009372456
99,3979.2633187005
100,3982.8580184689
101,4015.6434728178
102,4101.0992424318
103,4123.9867395688
104,4151.6708767211
105,4221.8838513924
106,4248.7635394958
107,4327.6896999395
108,4360.7080632113
109,4432.1909027633
110,4461.9786291304
111,4517.4561200272
112,4595.8743619860
113,4639.6511611512
114,4657.7030329611
115,4709.6924611236
116,4793.5845819828
117,4812.4655441135
118,4922.2396903313
119,4953.2650528595
120,4965.4560712316
121,5007.8196777475
122,5064.2117388684
123,5081.5866014380
124,5127.0583453114
125,5192.0905003721
126,5220.4162849789
127,5285.5674613674
128,5326.4897654763
129,5374.6105987634
130,5471.2739284827
131,5498.6438775494
132,5622.1844515292
133,5690.3898523062
134,5706.9651458654
135,5769.3035880767
136,5811.6080692923
137,5868.2038370557
138,5936.1062187475
139,5956.3796757868
140,6003.0731211960
141,6095.5374556562
142,6113.3775381903
143,6159.8824951082
144,6175.7818501780
145,6234.2252322240
146,6248.2037099252
147,6297.5345754761
148,6369.3514143561
149,6420.3033423051
150,6464.0709852153
