State,Energy
1,19.0545570804
2,48.4072325483
3,92.0800053176
4,97.2194277014
5,133.8786396922
6,159.5685286664
7,194.5899461779
8,239.4963193126
9,245.1898177553
10,271.7186741824
11,299.9196500790
12,335.6320050095
13,364.4179778760
14,390.7600358589
15,439.7382930472
16,473.2833524241
17,481.7285090335
18,510.0934368917
19,543.3253960256
20,563.8600715267
21,607.5827990956
22,645.8138446963
23,652.3776990206
24,697.3480752545
25,751.8044227816
26,790.9226275329
27,811.6791015742
28,816.7190083302
29,864.3258850171
30,886.3655879311
31,915.0388904476
32,962.7490559211
33,990.2509720109
34,1016.0715102918
35,1059.6000004321
36,1089.1727022530
37,1157.0173950607
38,1183.7746039647
39,1198.7750465232
40,1260.0855837045
41,1264.3311503978
42,1297.2907344835
43,1349.9699399956
44,1379.7329147037
45,1414.1029277977
46,1417.9699578443
47,1473.6613960214
48,1511.3348880273
49,1562.9438102000
50,1600.2145847430
51,1656.2122287411
52,1668.8556158880
53,1725.4601211696
54,1741.7531543501
55,1819.0128042276
56,1827.1923289944
57,1868.6090535118
58,1902.1828229454
59,1941.4342449827
60,1971.9143728196
61,1980.2366728079
62,2044.0343865480
63,2122.5498312854
64,2176.2045000347
65,2190.4032617192
66,2221.2595362070
67,2286.2515064882
68,2297.2050044221
69,2383.6213822055
70,2395.1600807266
71,2483.5803215583
72,2503.0376715657
73,2527.0417833409
74,2567.5034799509
75,2599.3595306888
76,2627.6777853965
77,2709.9139770799
78,2747.7213372249
79,2790.2971538064
80,2807.2326368554
81,2867.4645260282
82,2890.8749936329
83,2934.5733619342
84,2958.2859714823
85,3012.3936344331
86,3054.1710329773
87,3163.3838800659
88,3196.7955904950
89,3215.5194097275
90,3281.9926103826
91,3326.7921033122
92,3359.2728066659
93,3402.5215231061
94,3480.5997847317
95,3508.9007599431
96,3532.4442022845
97,3595.5662852052
98,3635.0121220522
99,3686.7116564762
100,3757.3611391764
101,3778.5107970572
102,3881.4830075237
103,3919.1887100261
104,3957.8940877829
105,4022.8591350985
106,4058.0124223362
107,4078.4835147473
108,4134.1590908891
109,4236.8420264266
110,4243.3449113910
111,4267.5029955948
112,4354.1037960503
113,4368.9162785146
114,4410.0421956760
115,4491.0552672450
116,4563.4425178756
117,4585.2808689381
118,4638.8098217197
119,4670.5174383532
120,4740.8664973539
121,4750.1573766017
122,4783.4084347101
123,4828.0589954069
124,4929.6498754532
125,4940.0613093911
126,4979.4528454974
127,5076.7401063984
128,5099.4475515456
129,5137.9033935564
130,5178.2634670742
131,5304.0593195147
132,5335.8662598395
133,5376.6475096232
134,5398.4185764251
135,5475.9760325045
136,5517.6282612637
137,5550.6696803847
138,5598.1442340683
139,5639.9385999801
140,5754.7326620790
141,5777.2887246941
142,5848.8406948599
143,5902.3738994377
144,5954.6180365770
145,5982.2423368289
146,6018.0120598469
147,6102.7643120808
148,6136.9687039429
149,6183.8713438820
150,6215.9251778241
