State,Energy
1,47.6986506711
2,82.1704421026
3,133.7742115851
4,160.0491906440
5,196.4091610539
6,212.5255825790
7,268.1422876221
8,295.8697574076
9,346.9139635938
10,357.3652644478
11,400.0965864011
12,411.0442005161
13,457.3201020663
14,503.6529878197
15,522.9072021553
16,574.0581073275
17,623.7119039539
18,635.4159837934
19,663.7956809698
20,701.3933870626
21,718.6879569040
22,772.8483333829
23,810.7037985596
24,828.8107728793
25,873.7044697345
26,935.8575187439
27,971.3014258942
28,1009.9077227272
29,1021.7741980451
30,1055.4325205737
31,1094.7477262339
32,1122.7722339676
33,1163.8976133837
34,1219.3577161609
35,1234.3120033552
36,1270.6978920550
37,1322.5090972293
38,1367.1010750087
39,1423.4241271846
40,1471.3275957190
41,1474.7332756721
42,1531.2019996942
43,1544.1758433198
44,1595.9439258006
45,1628.4006340286
46,1649.5842131781
47,1719.9843464761
48,1767.0920315891
49,1803.5610800332
50,1848.8414649251
51,1859.2757935566
52,1929.8558591783
53,1978.7461923527
54,2039.3871765455
55,2051.6302892696
56,2111.0358759505
57,2135.0506893198
58,2181.3787852204
59,2210.0523831320
60,2248.7579088143
61,2285.2301977238
62,2348.3673538472
63,2375.1576012446
64,2445.7302185595
65,2480.2531378608
66,2557.4925382762
67,2571.5413547758
68,2627.7404385352
69,2649.5381804262
70,2743.1331454038
71,2767.3043612178
72,2824.6532151437
73,2886.3241970876
74,2918.6173684762
75,2940.1499444598
76,3009.7921368886
77,3029.2671042009
78,3051.1046860322
79,3093.2764189948
80,3138.8055789493
81,3188.4702540634
82,3217.0406627066
83,3311.6396016580
84,3329.9258347602
85,3396.9294491583
86,3418.6435208830
87,3521.9053621771
88,3540.6729090732
89,3588.4738667611
90,3683.0475586884
91,3722.6973274810
92,3817.5116582419
93,3871.5393875854
94,3934.1889121425
95,3943.0546640455
96,3980.0306251978
97,4003.4976588540
98,4127.0075602034
99,4159.5417489338
100,4196.0793042919
101,4218.0407313677
102,4275.5643712920
103,4317.3881391000
104,4361.2971953637
105,4434.4951966149
106,4464.8457086755
107,4524.6580772092
108,4611.8890305964
109,4661.1480520959
110,4728.0288282063
111,4773.9916530824
112,4806.2121806011
113,4844.8925435607
114,4892.8454592054
115,4943.4842026418
116,4971.8524692841
117,5023.9523824813
118,5102.5676239970
119,5129.5501898923
120,5185.6670366972
121,5233.8955147531
122,5322.9993212795
123,5338.9315163491
124,5392.8015554788
125,5459.0983263237
126,5464.0421886692
127,5562.8722029186
128,5589.3262907335
129,5730.2662836765
130,5789.9087188135
131,5820.7246129522
132,5865.0970101504
133,5868.1921854860
134,5961.1136051690
135,6081.9713804305
136,6090.1162949394
137,6105.3548677447
138,6151.4045101369
139,6193.9511736247
140,6231.9459634234
141,6284.3453926260
142,6319.0361531079
143,6327.1676093645
144,6375.0742566165
145,6445.1543309925
146,6461.7469289353
147,6522.6415051011
148,6547.1054829052
149,6578.8943260241
150,6659.1958912995
