State,Energy
1,11.4067737482
2,19.0584804548
3,31.5034382383
4,38.5233366702
5,47.7012653694
6,48.4186591307
7,62.4814862522
8,69.4734202369
9,82.2029099124
10,83.8259782005
11,92.0912451457
12,97.2643009215
13,106.1646827338
14,110.6196224570
15,125.7369532596
16,133.7617736325
17,133.9172967270
18,147.6248796040
19,159.6366531678
20,160.1602468905
21,162.0946385835
22,164.3611128243
23,181.5753720797
24,194.6526581572
25,196.3224125404
26,197.7358076953
27,212.5846355508
28,229.2783271191
29,230.2051872570
30,233.5556928161
31,239.4587902972
32,244.9718921383
33,251.7200085083
34,267.4776205585
35,267.5480937498
36,272.5200675362
37,285.7528540964
38,296.5267253942
39,300.2306934160
40,308.5047150218
41,316.6350619934
42,334.5671398142
43,336.3197969024
44,341.2931973476
45,345.6929399026
46,347.5956069634
47,357.5730570633
48,364.5786285293
49,374.8606082031
50,385.9990430863
51,390.8702358192
52,399.8377836526
53,404.4972199634
54,409.8537467409
55,417.1264019733
56,439.5512125027
57,447.0784436466
58,452.2367829221
59,458.2213681897
60,459.5060811854
61,463.0746921131
62,472.1518493360
63,482.1959247922
64,495.7481666444
65,503.5633071016
66,508.4900015966
67,510.6604823619
68,514.3950690936
69,522.4147034886
70,539.7942313806
71,542.5238114559
72,560.9773268217
73,562.0246959489
74,575.6389427080
75,579.1834353713
76,589.2409591671
77,591.4108129805
78,606.9219936925
79,614.0670761523
80,622.7537124345
81,627.6501502502
82,635.0911051068
83,642.0941756590
84,648.0370650548
85,653.7414098938
86,661.1859407172
87,662.9865970686
88,677.6291275970
89,695.5663407319
90,699.4459788330
91,699.8816951280
92,714.8580498785
93,719.3360541298
94,732.7992089383
95,738.1348051998
96,749.0266907052
97,755.5455138522
98,773.2186109002
99,780.3163586778
100,791.3809128547
101,792.2574128521
102,794.4379438857
103,809.7093717407
104,812.1389347914
105,816.5263621825
106,824.1507816940
107,832.7423217295
108,846.4599286403
109,853.4403209873
110,864.9694286949
111,876.9372598762
112,878.7256471819
113,886.2227822624
114,887.0518611878
115,901.1770069069
116,913.5476045958
117,916.7189124591
118,934.2487655514
119,940.8945055000
120,963.1557863844
121,964.3671121324
122,969.0192976461
123,969.1349172501
124,992.2401395282
125,997.2185796310
126,998.5966278415
127,1011.4520685887
128,1017.1559087327
129,1020.0408709648
130,1022.2529067489
131,1046.8340147852
132,1052.9896744519
133,1063.2476928311
134,1065.7188713683
135,1069.1644514824
136,1086.3042306743
137,1089.8088226268
138,1100.7557189108
139,1105.3582731349
140,1114.8750556929
141,1119.2737333495
142,1141.5140229759
143,1155.0991262231
144,1163.7711239333
145,1169.2955213944
146,1173.5672689195
147,1191.7780535276
148,1192.1493501991
149,1200.1005710541
150,1213.6735047908
