State,Energy,Px,Py,Sector
1,11.4067737482,0.9999745340,0.9999779694,++
2,19.0584804548,-0.9998999333,0.9999754787,-+
3,31.5034382383,0.9997813054,0.9999713660,++
4,38.5233366702,0.9999651146,-0.9999096032,+-
5,47.7012653694,-0.9998754219,-0.9998966663,--
6,48.4186591307,-0.9996214481,0.9999603299,-+
7,62.4814862522,0.9997362768,-0.9998900671,+-
8,69.4734202369,0.9994229096,0.9999491531,++
9,82.2029099124,-0.9994343327,-0.9997860513,--
10,83.8259782005,0.9998316725,0.9996808133,++
11,92.0912451457,-0.9995864185,0.9998362993,-+
12,97.2643009215,-0.9994200121,0.9998635308,-+
13,106.1646827338,0.9992887837,-0.9998411434,+-
14,110.6196224570,0.9996368996,0.9997559069,++
15,125.7369532596,0.9988530411,0.9998871069,++
16,133.7617736325,-0.9990727170,-0.9651808780,--
17,133.9172967270,-0.9994312297,0.9650542076,-+
18,147.6248796040,0.9998245651,-0.9995691732,+-
19,159.6366531678,-0.9981892185,0.9997429662,-+
20,160.1602468905,-0.9996488959,-0.9994881352,--
21,162.0946385835,0.9989359204,0.9992900924,++
22,164.3611128243,0.9987312949,-0.9993336717,+-
23,181.5753720797,0.9993672797,-0.9995150815,+-
24,194.6526581572,-0.9988050977,0.9995938480,-+
25,196.3224125404,-0.9984212094,-0.9993720049,--
26,197.7358076953,0.9976769783,0.9995747683,++
27,212.5846355508,-0.9988601942,-0.9995528498,--
28,229.2783271191,0.9991724887,0.9949023188,++
29,230.2051872570,0.9984221252,-0.9946537865,+-
30,233.5556928161,0.9991013751,0.9992995721,++
31,239.4587902972,-0.9975806201,0.9994962104,-+
32,244.9718921383,-0.9987687532,0.9986415657,-+
33,251.7200085083,0.9976149239,-0.9989602924,+-
34,267.4776205585,0.1230746347,0.1232360111,mixed
35,267.5480937498,-0.1213965564,-0.1213639734,mixed
36,272.5200675362,-0.9984353308,0.9980277546,-+
37,285.7528540964,0.9971331051,0.9993132401,++
38,296.5267253942,-0.9973743420,-0.9985716435,--
39,300.2306934160,-0.9986572381,0.9981099500,-+
40,308.5047150218,0.9978058085,-0.9984855347,+-
41,316.6350619934,0.9975197057,0.9981259209,++
42,334.5671398142,-0.9828875450,0.9868083868,-+
43,336.3197969024,0.9868136381,-0.9864382785,+-
44,341.2931973476,0.9970128090,0.9981204401,++
45,345.6929399026,0.9952109648,-0.9989436842,+-
46,347.5956069634,-0.9953166914,-0.9974391002,--
47,357.5730570633,-0.9980175355,-0.9918580969,--
48,364.5786285293,-0.9970977219,0.9921588877,-+
49,374.8606082031,0.9978391589,-0.9973546162,+-
50,385.9990430863,0.9884049441,0.9976015970,++
51,390.8702358192,-0.9893385554,0.9976335237,-+
52,399.8377836526,-0.9953697782,-0.9988166558,--
53,404.4972199634,0.9947552343,-0.9979314088,+-
54,409.8537467409,-0.9955106253,-0.9972858570,--
55,417.1264019733,0.9957710771,0.9978658095,++
56,439.5512125027,-0.9953646566,0.9971595596,-+
57,447.0784436466,0.9953457924,0.9978805955,++
58,452.2367829221,0.9946744086,-0.9975212988,+-
59,458.2213681897,-0.9869792438,-0.9952401299,--
60,459.5060811854,0.9874072286,-0.9962331700,+-
61,463.0746921131,0.9966075292,0.9956063574,++
62,472.1518493360,-0.9953998465,0.9954739961,-+
63,482.1959247922,-0.9951188807,0.9965194984,-+
64,495.7481666444,0.9909483723,0.9949351176,++
65,503.5633071016,-0.9813297870,-0.9782411354,--
66,508.4900015966,0.9860574886,0.9666405580,++
67,510.6604823619,-0.9865849953,0.9862306101,-+
68,514.3950690936,0.9847795734,-0.9696797558,+-
69,522.4147034886,-0.9889791049,-0.9946368887,--
70,539.7942313806,0.8725787652,0.9944398811,++
71,542.5238114559,-0.8730676130,0.9960406107,-+
72,560.9773268217,0.4109321116,-0.4112383273,mixed
73,562.0246959489,-0.4098170484,0.4138342815,mixed
74,575.6389427080,-0.9201108522,-0.9255995191,--
75,579.1834353713,0.9206447955,0.9130494852,++
76,589.2409591671,0.9791954231,-0.8917217444,+-
77,591.4108129805,0.9932521081,0.9084864397,++
78,606.9219936925,-0.9857123691,0.9840296050,-+
79,614.0670761523,0.9952643017,-0.9899273717,+-
80,622.7537124345,-0.8805457576,-0.8753080470,--
81,627.6501502502,0.8786409586,0.8795050598,++
82,635.0911051068,-0.9732755616,-0.9946967991,--
83,642.0941756590,0.9671189555,-0.9905974858,+-
84,648.0370650548,-0.9868430507,0.9829108304,-+
85,653.7414098938,-0.9881883390,0.9825453278,-+
86,661.1859407172,-0.9113284438,-0.9757113247,--
87,662.9865970686,0.9140224157,-0.9768024298,+-
88,677.6291275970,0.9848620627,0.9697790370,++
89,695.5663407319,0.9363680992,-0.9574800743,+-
90,699.4459788330,-0.9660801349,-0.8776999776,--
91,699.8816951280,-0.9456346795,0.8489707875,-+
92,714.8580498785,0.7884127282,0.8072816718,mixed
93,719.3360541298,-0.8077543719,-0.8137836529,--
94,732.7992089383,0.9803653578,0.8839364790,++
95,738.1348051998,0.9892390025,-0.8807862257,+-
96,749.0266907052,-0.9756981683,0.9842499556,-+
97,755.5455138522,0.9780704774,-0.9852094238,+-
98,773.2186109002,-0.8318601830,-0.8368301739,--
99,780.3163586778,0.8128629586,0.8329229465,++
100,791.3809128547,0.9111919723,0.4311186594,mixed
101,792.2574128521,-0.2716741704,0.7107910776,mixed
102,794.4379438857,0.3855940155,-0.1312213798,mixed
103,809.7093717407,-0.9821977791,-0.7590653764,mixed
104,812.1389347914,-0.9670805709,0.7798246595,mixed
105,816.5263621825,-0.9366605273,0.9852526115,-+
106,824.1507816940,0.9031018718,0.9439508753,++
107,832.7423217295,-0.9302345264,-0.9467453530,--
108,846.4599286403,0.9758573324,0.9680457587,++
109,853.4403209873,0.9504879434,-0.9733611911,+-
110,864.9694286949,-0.9738400419,0.9834493525,-+
111,876.9372598762,-0.9676212289,-0.9457620132,--
112,878.7256471819,0.8826400553,0.9760750426,++
113,886.2227822624,0.0757211739,-0.0561850657,mixed
114,887.0518611878,0.0119104377,0.0549773148,mixed
115,901.1770069069,0.9585974721,0.9217249157,++
116,913.5476045958,-0.8939036325,0.9002656982,-+
117,916.7189124591,0.8913332872,-0.8491246672,+-
118,934.2487655514,-0.9648793088,-0.9809986079,--
119,940.8945055000,0.9806544433,0.9823392348,++
120,963.1557863844,0.8002353997,-0.7986388330,mixed
121,964.3671121324,0.5480499388,0.5304932036,mixed
122,969.0192976461,-0.4700740225,-0.5160565721,mixed
123,969.1349172501,-0.8076224370,0.8190497027,-+
124,992.2401395282,-0.9439859567,0.9222021436,-+
125,997.2185796310,0.9308408793,0.2181254092,mixed
126,998.5966278415,0.9302901551,-0.2355359641,mixed
127,1011.4520685887,-0.9708216193,-0.4956895720,mixed
128,1017.1559087327,-0.8165039626,0.4367359790,mixed
129,1020.0408709648,-0.9798369377,-0.9811542563,--
130,1022.2529067489,0.8515900439,-0.9036913871,+-
131,1046.8340147852,0.7046613994,-0.9626100312,mixed
132,1052.9896744519,-0.6167827713,-0.8825468365,mixed
133,1063.2476928311,-0.0689471253,0.8234846978,mixed
134,1065.7188713683,0.0998678473,0.8925084878,mixed
135,1069.1644514824,0.7845744607,-0.8400892320,mixed
136,1086.3042306743,0.7471609527,0.9068852015,mixed
137,1089.8088226268,-0.6423030156,0.9480593953,mixed
138,1100.7557189108,0.5133975019,0.6173389863,mixed
139,1105.3582731349,-0.6033440379,-0.6300414198,mixed
140,1114.8750556929,0.3837716392,-0.9190910937,mixed
141,1119.2737333495,-0.3488294053,-0.9301987064,mixed
142,1141.5140229759,0.8906285814,-0.9282296100,+-
143,1155.0991262231,-0.9270886282,-0.9361519850,--
144,1163.7711239333,-0.8882885114,0.8962899144,-+
145,1169.2955213944,0.8988909789,0.9565339633,++
146,1173.5672689195,0.8590394874,-0.8530664808,+-
147,1191.7780535276,-0.3814503849,0.8130189772,mixed
148,1192.1493501991,0.1670460248,0.9476190852,mixed
149,1200.1005710541,-0.5889775270,0.9475524905,mixed
150,1213.6735047908,0.9395822809,-0.9131880815,+-
